XOM,2020-05-08,-9.545439969294023e-05,9.54544e-05
NFLX,2020-02-26,9.243919974366577e-05,9.243919974366577e-05
HD,2020-07-10,9.230948293748042e-05,9.230948293748042e-05
PFE,2020-06-23,8.716362939864553e-05,8.716362939864553e-05
BAC,2020-06-04,-8.67879702681762e-05,8.6788e-05
CSCO,2020-06-18,8.461770772161259e-05,8.461770772161259e-05
VZ,2020-01-21,-8.349958001385716e-05,8.34996e-05
AAPL,2020-08-03,7.959099184873253e-05,7.959099184873253e-05
MSFT,2020-01-02,-7.358286291303529e-05,7.35829e-05
JNJ,2020-02-19,6.050414894520628e-05,6.050414894520628e-05
