ticker,n,mae,smape,mase,model,split
AAPL,21,0.006038644351065159,1.496150255203247,0.5654431920457113,lin_lags,1
AMZN,21,0.006572879385203123,1.7177196741104126,0.6463191931262612,lin_lags,1
BAC,21,0.006444556172937155,1.6587673425674438,0.593133084200985,lin_lags,1
CSCO,21,0.009309026412665844,1.749868631362915,0.7686456428641485,lin_lags,1
CVX,21,0.00811471976339817,1.730535626411438,0.7542725826663542,lin_lags,1
DIS,21,0.007879874669015408,1.6488301753997803,0.6671080701056268,lin_lags,1
GOOGL,21,0.006925269030034542,1.6817280054092407,0.6345433654980783,lin_lags,1
HD,21,0.008418734185397625,1.5125212669372559,0.744677799432765,lin_lags,1
INTC,21,0.007431478705257177,1.6829103231430054,0.6367566726326886,lin_lags,1
JNJ,21,0.010631468147039413,1.5796312093734741,0.9412764852049244,lin_lags,1
JPM,21,0.008224253542721272,1.5184060335159302,0.8120756493614685,lin_lags,1
KO,21,0.007931706495583057,1.703420877456665,0.8812365613783584,lin_lags,1
META,21,0.005839006043970585,1.5860671997070312,0.5767773691967885,lin_lags,1
MSFT,21,0.007421543356031179,1.3809800148010254,0.7691413741477522,lin_lags,1
NFLX,21,0.007067965809255838,1.4767107963562012,0.6605852379786199,lin_lags,1
NVDA,21,0.011257262900471687,1.8027204275131226,0.8589094471685408,lin_lags,1
ORCL,21,0.007417693734169006,1.5452148914337158,0.6933980866212603,lin_lags,1
PFE,21,0.009174673818051815,1.6232473850250244,0.8727320549565483,lin_lags,1
PG,21,0.00883511733263731,1.6865192651748657,0.7619705136653019,lin_lags,1
T,21,0.0075304750353097916,1.9407546520233154,0.7166519361131674,lin_lags,1
TSLA,21,0.008139459416270256,1.5779759883880615,0.8047429280274493,lin_lags,1
V,21,0.00891594123095274,1.429884910583496,0.872288693058696,lin_lags,1
VZ,21,0.009028581902384758,1.6981737613677979,0.8287463772874738,lin_lags,1
WMT,21,0.006892933044582605,1.7262462377548218,0.6588957638437039,lin_lags,1
XOM,21,0.007099506910890341,1.5650594234466553,0.7687519645206586,lin_lags,1
AAPL,21,0.009356187656521797,1.5583176612854004,0.8760894509293619,naive,1
AMZN,21,0.010732815600931644,1.6408251523971558,1.055370761067559,naive,1
BAC,21,0.008365792222321033,1.6396993398666382,0.7699565353231153,naive,1
CSCO,21,0.013511172495782375,1.5946606397628784,1.1156165433947873,naive,1
CVX,21,0.008935399353504181,1.3909351825714111,0.830555699276607,naive,1
DIS,21,0.011096314527094364,1.3741483688354492,0.939411003396059,naive,1
GOOGL,21,0.011070787906646729,1.5628138780593872,1.0143858652324445,naive,1
HD,21,0.012400754727423191,1.36726713180542,1.0969067960050816,naive,1
INTC,21,0.009004233404994011,1.3235762119293213,0.7715161315763569,naive,1
JNJ,21,0.011173825711011887,1.2923686504364014,0.9892951045037536,naive,1
JPM,21,0.010853906162083149,1.4627668857574463,1.0717316591586554,naive,1
KO,21,0.011884725652635098,1.6057281494140625,1.320428935801593,naive,1
META,21,0.0072466651909053326,1.2721879482269287,0.7158260246324514,naive,1
MSFT,21,0.009503587149083614,1.331304907798767,0.9849167118641005,naive,1
NFLX,21,0.010946677066385746,1.626470685005188,1.0230968103303373,naive,1
NVDA,21,0.016316555440425873,1.6018251180648804,1.2449246088446437,naive,1
ORCL,21,0.0072847711853682995,0.9822322130203247,0.6809726287484629,naive,1
PFE,21,0.012685486115515232,1.5284919738769531,1.2066947103812389,naive,1
PG,21,0.011751444078981876,1.3766810894012451,1.0134844330921884,naive,1
T,21,0.012489892542362213,1.532737374305725,1.188624307279317,naive,1
TSLA,21,0.01527476031333208,1.795082449913025,1.5102053724719002,naive,1
V,21,0.01537282858043909,1.5250619649887085,1.5039965163177356,naive,1
VZ,21,0.012236816808581352,1.5761902332305908,1.1232348235068477,naive,1
WMT,21,0.010757066309452057,1.5863151550292969,1.0282684275098712,naive,1
XOM,21,0.011382609605789185,1.521611213684082,1.2325367952525563,naive,1
AAPL,17,0.009262658655643463,1.5127415657043457,,s5,1
AMZN,17,0.007369772531092167,1.1068086624145508,,s5,1
BAC,17,0.009021327830851078,1.6293636560440063,,s5,1
CSCO,17,0.010851560160517693,1.4887487888336182,,s5,1
CVX,17,0.012987503781914711,1.666640281677246,,s5,1
DIS,17,0.010086136870086193,1.3200204372406006,,s5,1
GOOGL,17,0.010597920045256615,1.5128581523895264,,s5,1
HD,17,0.013168440200388432,1.440627932548523,,s5,1
INTC,17,0.009191777557134628,1.4530832767486572,,s5,1
JNJ,17,0.01329287514090538,1.5638877153396606,,s5,1
JPM,17,0.012879647314548492,1.6261881589889526,,s5,1
KO,17,0.008741131983697414,1.4069315195083618,,s5,1
META,17,0.009028729051351547,1.5419585704803467,,s5,1
MSFT,17,0.011963828466832638,1.7428884506225586,,s5,1
NFLX,17,0.008873616345226765,1.5643188953399658,,s5,1
NVDA,17,0.01705511100590229,1.5798380374908447,,s5,1
ORCL,17,0.010846550576388836,1.4211549758911133,,s5,1
PFE,17,0.008879228495061398,1.3167256116867065,,s5,1
PG,17,0.012936949729919434,1.4560450315475464,,s5,1
T,17,0.011016251519322395,1.4784313440322876,,s5,1
TSLA,17,0.012331131845712662,1.666548728942871,,s5,1
V,17,0.011908326297998428,1.1765731573104858,,s5,1
VZ,17,0.009634735062718391,1.2501779794692993,,s5,1
WMT,17,0.008515593595802784,1.4052304029464722,,s5,1
XOM,17,0.01076006144285202,1.715818166732788,,s5,1
