regime,macro_mae,macro_smape,macro_mase,micro_mae,micro_smape,micro_mase,split,model
low,0.010896456280821249,1.4017619882759296,1.0232091582417258,0.009960667494393833,1.470442106749149,0.94845767684338,1,naive
med,0.012401422443376347,1.5750142498449846,1.149930181176433,0.011820063397630257,1.5471360741030191,1.1108619883350663,1,naive
high,0.011425789882196113,1.464756652712822,1.0552822327115359,0.011656098412402437,1.4173207902638925,1.0665989933663895,1,naive
low,0.010332827309244558,1.7264080173090885,0.9691391483581493,0.008131025643054898,1.6295207011784223,0.771617640454838,1,lin_lags
med,0.008136505536227063,1.6646196137775073,0.7578884349215727,0.007878650220533932,1.6800999900569087,0.7414417354240215,1,lin_lags
high,0.007027279272733722,1.4906507031992078,0.6387982138039243,0.007864649818636646,1.568236352781118,0.7118313969887092,1,lin_lags
low,0.012129670474678278,1.5220387044705843,1.1451295225319154,0.010671268618118363,1.4973484781599535,1.013404843616683,2,naive
med,0.013421700314872644,1.4505304152315313,1.2291396315295378,0.012331022000758023,1.4638403675905087,1.1375443494993096,2,naive
high,0.013336352408967085,1.5629930231306288,1.1935326325972617,0.012884938241746611,1.5124451792882587,1.136089210798257,2,naive
low,0.009401353198642793,1.7158853443045365,0.8895032828961826,0.008183895761492787,1.69377589901698,0.7785824974916318,2,lin_lags
med,0.00992533831264485,1.5952810021963986,0.9042631336853115,0.009033275225835784,1.615581034160242,0.8284674553414858,2,lin_lags
high,0.007050986531087094,1.5964190297656589,0.6308669393807315,0.008341352803866843,1.6882765764247871,0.7364392338950956,2,lin_lags
low,0.011444265595995463,1.4295201513629694,1.0525946132275865,0.010352823740014663,1.4561243131756783,0.944615343752501,3,naive
med,0.011111694993451238,1.4077136635780334,1.0217815259908742,0.010622100042248214,1.369557950231764,0.973312894587633,3,naive
high,0.011915528890676796,1.4451526433229447,1.0984212433965916,0.012417287662993748,1.496628034464169,1.1427066289475634,3,naive
low,0.009186160750687122,1.622258186340332,0.8469990257381069,0.007606051241358121,1.6394767221222577,0.6930959385586353,3,lin_lags
med,0.008779529039748013,1.6415100812911987,0.812601004517243,0.00858983587887552,1.645220994066309,0.7904868836639073,3,lin_lags
high,0.007953682402148842,1.5667695105075836,0.7293356766133106,0.008046804415573785,1.5886878770786328,0.7389487254190656,3,lin_lags
