sector,ticker,date,log_return,abs_move
Healthcare,DIS,2020-05-26,0.0406160631065191,0.0406160631065191
Energy,JNJ,2020-08-26,-0.0366108181020674,0.0366108181020674
Energy,NFLX,2020-02-24,-0.0352673134914223,0.0352673134914223
Healthcare,T,2020-04-22,-0.0324010609621243,0.0324010609621243
Consumer,INTC,2020-08-13,0.032125524475993,0.032125524475993
Financials,HD,2020-07-15,0.0319342315632713,0.0319342315632713
Energy,XOM,2020-06-09,0.0315028786157123,0.0315028786157123
Consumer,INTC,2020-07-23,-0.0312024480398154,0.0312024480398154
Energy,NFLX,2020-04-17,-0.0308633642099511,0.0308633642099511
Technology,CSCO,2020-08-03,0.0308342368173999,0.0308342368173999
